Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,1,15,970916,cmnshnr,48.2,45,55,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
1,1,15,970916,fllfsh,68.0,68,68,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
1,1,15,970916,lngndc,56.9,49,64,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
1,1,15,970916,tssdtr,53.3,47,61,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
1,1,15,970916,ylbull,55.0,40,70,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
1,1,16,1100902,blkndce,58.5,30,86,Iron Rock Brook/Oregon Ave. cul-de-sac,  Woonsocket,42.00199,71.47237,,,,,,,
1,1,17,1120731,blgl,107.0,80,133,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,cmnshnr,117.0,117,117,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,eel,320.0,110,500,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,fllfsh,166.0,132,220,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,gsunfish,126.0,126,126,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,lmb,89.3,52,172,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,lngndc,96.3,85,109,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,pmpknsd,142.0,142,142,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,tssdtr,73.8,38,96,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,wtsuck,169.7,104,211,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,1,17,1120731,ybull,135.8,100,175,Mill River/Privilege Street,Woonsocket,42.0175,-71.50831,,,,,,,
1,2,1,940726,blgl,68.8,61,80,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,brbull,173.0,173,173,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,chnpick,291.5,137,720,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,cmnshnr,110.5,106,115,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,fllfsh,110.6,85,118,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,pmpknsd,71.0,67,75,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,wtsuck,194.0,194,194,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,ylbull,116.7,100,135,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,1,940726,yperch,108.0,108,108,Tarkiln Brk/Douglas Pike,Burrillville,41.96684098,-71.60015114,,,,,,,
1,2,2,940727,brktrt,160.0,160,160,Rocky Brk/Spring Lake Rd,Burrillville,41.97694364,-71.63522711,,,,,,,
1,2,2,940727,gldshnr,78.3,70,84,Rocky Brk/Spring Lake Rd,Burrillville,41.97694364,-71.63522711,,,,,,,
1,2,2,940727,rdfnpick,64.0,63,65,Rocky Brk/Spring Lake Rd,Burrillville,41.97694364,-71.63522711,,,,,,,
1,2,3,940727,Brktrt,118.0,0,165,Tucker Brk/Joslin Rd,Burrillville,41.98777089,-71.63017182,,,,,,,
1,2,3,940727,lmb,208.0,208,208,Tucker Brk/Joslin Rd,Burrillville,41.98777089,-71.63017182,,,,,,,
1,2,4,940728,blgl,78.5,75,82,Trout Brk/Pound Hill Rd,North Smithfield,41.97950748,-71.57978469,,,,,,,
1,2,4,940728,fllfsh,160.0,160,160,Trout Brk/Pound Hill Rd,North Smithfield,41.97950748,-71.57978469,,,,,,,
1,2,4,940728,lmb,59.0,51,67,Trout Brk/Pound Hill Rd,North Smithfield,41.97950748,-71.57978469,,,,,,,
