Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
2,2,4,930608,pmpknsd,124.7,39,189,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,rnbwtrt,298.0,298,298,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,swmpdtr,45.0,45,45,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,yperch,112.4,75,223,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,5,930622,blgl,100.4,50,175,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,blkcrp,102.0,102,102,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,brbull,256.0,255,257,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,chnpick,315.5,280,370,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,gldshnr,127.0,100,201,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,lmb,279.0,151,448,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,pmpknsd,104.0,83,125,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,5,930622,yperch,187.5,145,250,Clarksville Pond,Glocester,41.92222,-71.78889,,,,,,,,
2,2,6,930624,blgl,160.0,130,190,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,bndkilli,75.0,63,82,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,brbull,184.8,128,286,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,brktrt,275.0,275,275,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,chnpick,173.8,60,280,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,gldshnr,103.9,66,235,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,lmb,271.0,198,315,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,pmpknsd,105.9,39,182,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,6,930624,yperch,141.1,82,278,Peck Pond,Burrillville,41.93333,-71.79694,,,,,,,,
2,2,7,930721,brktrt,130.4,117,153,Trib/N end Peck Pond,Burrillville,41.93802,-71.79624,,,,,,,,
2,2,8,930930,blgl,131.0,130,132,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
