Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
7,0,9,970905,blgl,133.0,133,133,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,brktrt,164.7,81,210,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,eel,184.5,105,390,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,lmb,70.0,63,85,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,lngndc,61.5,32,107,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,pmpknsd,109.0,101,119,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,rdfnpick,168.5,147,198,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,970905,wtsuck,100.6,59,123,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,1040825,brktrt,178.0,82,240,Frenchtown B./Davisville Rd.,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,1040825,eel,185.6,115,300,Frenchtown B./Davisville Rd.,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,1040825,lngndc,91.4,61,102,Frenchtown B./Davisville Rd.,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,1040825,rdfnpick,165.7,160,172,Frenchtown B./Davisville Rd.,East Greenwich,41.62566,-71.48626,,,,,,,
7,0,9,1040825,wtsuck,115.0,97,142,Frenchtown B./Davisville Rd.,East Greenwich,41.62566,-71.48626,,,,,,,
